id,state,spkts,dpkts,rate,sttl,dload,sloss,dloss,sjit,djit,stcpb,dwin,tcprtt,synack,smean,dmean,trans_depth,response_body_len,ct_state_ttl,ct_dst_ltm,ct_dst_src_ltm,is_ftp_login,label
23,INT,2,0,200000.0051,254,0,0,0,0,0,0,0,0,0,1029,0,0,0,2,2,3,0,0
24,INT,2,0,333333.3215,254,0,0,0,0,0,0,0,0,0,143,0,0,0,2,2,3,0,0
25,INT,2,0,142857.1409,254,0,0,0,0,0,0,0,0,0,750,0,0,0,2,2,2,0,0
26,INT,2,0,166666.6608,254,0,0,0,0,0,0,0,0,0,451,0,0,0,2,2,2,0,0
27,INT,2,0,500000.0013,254,0,0,0,0,0,0,0,0,0,813,0,0,0,2,1,1,0,0
28,INT,2,0,142857.1409,254,0,0,0,0,0,0,0,0,0,182,0,0,0,2,1,1,0,0
29,FIN,10,6,10.459041,254,1249.506714,2,1,10042.8699,468.508156,1640845588,255,0.148966,0.079731,53,45,0,0,1,1,1,0,0
30,INT,2,0,142857.1409,254,0,0,0,0,0,0,0,0,0,365,0,0,0,2,1,2,0,0
31,FIN,10,8,8.834441,254,1288.789062,2,1,13125.11139,399.405156,2214319888,255,0.185096,0.095516,53,44,0,0,1,1,1,0,0
32,FIN,14,8,7.570899,254,894.087097,4,1,18158.22943,788.701375,3374744735,255,0.144772,0.077744,568,44,0,0,1,1,1,0,0
33,INT,2,0,100000.0025,254,0,0,0,0,0,0,0,0,0,397,0,0,0,2,1,2,0,0
34,FIN,10,8,11.60377,254,1692.7854,2,1,8764.724091,346.639313,783227300,255,0.221146,0.09657,252,44,0,0,1,2,3,0,0
35,FIN,10,8,17.278635,62,8342.53125,2,2,5929.211713,192.590406,794167371,255,0.206572,0.108393,82,147,1,184,1,1,2,0,0
36,FIN,10,6,21.003049,254,2509.164307,2,1,4013.392196,218.658469,3802396535,255,0.162097,0.079909,53,45,0,0,1,1,2,0,0
37,INT,2,0,0.016668,0,0,0,0,13.651471,0,0,0,0,0,46,0,0,0,2,2,2,0,0
38,INT,2,0,0.016668,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,0,0
39,INT,2,0,0.016668,0,0,0,0,13.651471,0,0,0,0,0,46,0,0,0,2,2,2,0,0
40,FIN,10,10,12.375802,62,5940.385254,2,2,11933.0656,244.118016,708428911,255,0.180318,0.103612,83,127,1,187,1,1,2,0,0
41,INT,2,0,0.016668,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,0,0
42,FIN,10,6,19.80734,254,2366.316895,2,1,4064.836863,186.487812,1416292821,255,0.226895,0.138291,53,45,0,0,1,1,2,0,0
43,FIN,10,8,22.388865,254,3266.140381,2,1,4716.886723,140.050609,2545019062,255,0.172317,0.069791,53,44,0,0,1,1,3,0,0
44,FIN,10,8,13.137192,254,1916.484497,2,1,9390.189727,257.271375,1381018516,255,0.135361,0.079802,252,44,0,0,1,1,2,0,0
45,FIN,10,8,16.047441,62,7498.874512,2,2,6102.668305,255.756219,1853677305,255,0.274887,0.128459,83,142,1,165,1,1,1,0,0
46,FIN,10,6,24.036613,254,2871.573975,2,1,3412.856309,145.655875,2425182602,255,0.221323,0.089865,53,45,0,0,1,1,3,0,0
47,FIN,10,8,14.28221,254,2083.522461,2,1,8972.551926,220.423188,3033763933,255,0.195284,0.105903,252,44,0,0,1,1,2,0,0
48,FIN,10,6,15.007924,254,1792.946655,2,1,6141.458662,306.944813,2868770840,255,0.266426,0.107439,53,45,0,0,1,1,3,0,0
49,FIN,10,10,19.181301,62,10281.17773,2,2,7172.956819,143.497953,1528762476,255,0.181441,0.084249,80,141,1,261,1,18,2,0,0
50,FIN,10,6,22.879176,254,2733.298828,2,1,3518.358106,160.930422,740536776,255,0.199328,0.120374,53,45,0,0,1,1,2,0,0
51,FIN,10,8,20.983328,254,3061.097168,2,1,5467.042547,158.574391,811780886,255,0.21379,0.117396,252,44,0,0,1,1,3,0,0
52,REQ,22,0,1.414469,254,0,21,0,965.398187,0,0,0,0,0,45,0,0,0,6,4,14,0,0
53,REQ,22,0,1.414469,254,0,21,0,965.398187,0,0,0,0,0,45,0,0,0,6,4,14,0,0
54,REQ,22,0,1.414469,254,0,21,0,965.398187,0,0,0,0,0,45,0,0,0,6,4,14,0,0
55,FIN,10,6,9.441159,254,1127.903809,2,1,11388.44841,541.030062,3086844008,255,0.153274,0.081819,53,45,0,0,1,1,2,0,0
56,FIN,10,8,14.76498,254,2153.949951,2,1,8172.13149,198.059172,531787453,255,0.24447,0.13811,252,44,0,0,1,1,3,0,0
57,REQ,20,0,1.323555,254,0,19,0,1095.4585,0,0,0,0,0,45,0,0,0,6,9,14,0,0
58,REQ,20,0,1.323555,254,0,19,0,1095.4585,0,0,0,0,0,45,0,0,0,6,9,14,0,0
59,REQ,20,0,1.323555,254,0,19,0,1095.4585,0,0,0,0,0,45,0,0,0,6,9,14,0,0
60,REQ,20,0,1.223253,254,0,19,0,1294.16175,0,0,0,0,0,45,0,0,0,6,9,14,0,0
61,REQ,20,0,1.218654,254,0,19,0,1301.85075,0,0,0,0,0,45,0,0,0,6,9,14,0,0
62,REQ,20,0,1.223253,254,0,19,0,1294.16175,0,0,0,0,0,45,0,0,0,6,9,14,0,0
63,REQ,20,0,1.223253,254,0,19,0,1294.16175,0,0,0,0,0,45,0,0,0,6,9,14,0,0
64,REQ,20,0,1.218654,254,0,19,0,1301.85075,0,0,0,0,0,45,0,0,0,6,9,14,0,0
65,REQ,20,0,1.218654,254,0,19,0,1301.85075,0,0,0,0,0,45,0,0,0,6,9,14,0,0
66,FIN,10,8,15.821401,254,2308.063232,2,1,7733.705204,189.958375,2795605829,255,0.22157,0.127886,252,44,0,0,1,1,3,0,0
67,REQ,18,0,1.06385,254,0,17,0,1630.5805,0,0,0,0,0,45,0,0,0,6,2,14,0,0
68,REQ,18,0,1.116485,254,0,17,0,1477.873125,0,0,0,0,0,45,0,0,0,6,2,14,0,0
69,REQ,18,0,1.06385,254,0,17,0,1630.5805,0,0,0,0,0,45,0,0,0,6,4,17,0,0
70,REQ,18,0,1.116485,254,0,17,0,1477.873125,0,0,0,0,0,45,0,0,0,6,4,17,0,0
71,REQ,18,0,1.06385,254,0,17,0,1630.5805,0,0,0,0,0,45,0,0,0,6,4,17,0,0
72,FIN,12,8,14.575939,62,6014.492676,2,2,6491.561713,252.408328,1182907296,255,0.140062,0.07451,75,140,1,157,1,1,1,0,0
73,REQ,18,0,1.116485,254,0,17,0,1477.873125,0,0,0,0,0,45,0,0,0,6,4,17,0,0
74,REQ,16,0,0.975637,254,0,15,0,1831.659375,0,0,0,0,0,45,0,0,0,6,3,17,0,0
75,REQ,16,0,0.975637,254,0,15,0,1831.659375,0,0,0,0,0,45,0,0,0,6,3,17,0,0
76,REQ,16,0,0.975637,254,0,15,0,1831.659375,0,0,0,0,0,45,0,0,0,6,3,17,0,0
77,FIN,10,6,25.755981,254,3076.981201,2,1,3507.093149,155.981016,4226419251,255,0.178731,0.098958,53,45,0,0,1,1,2,0,0
78,REQ,14,0,0.790367,254,0,13,0,2435.79,0,0,0,0,0,45,0,0,0,6,9,17,0,0
79,REQ,14,0,0.775346,254,0,13,0,2508.6645,0,0,0,0,0,45,0,0,0,6,9,17,0,0
80,REQ,14,0,0.775346,254,0,13,0,2508.6645,0,0,0,0,0,45,0,0,0,6,9,17,0,0
81,REQ,14,0,0.844003,254,0,13,0,2188.4775,0,0,0,0,0,45,0,0,0,6,9,17,0,0
82,REQ,14,0,0.790367,254,0,13,0,2435.79,0,0,0,0,0,45,0,0,0,6,9,17,0,0
83,FIN,10,8,6.902785,254,1006.994507,2,1,17425.54618,481.345844,3840327893,255,0.2792,0.162075,252,44,0,0,1,1,1,0,0
84,FIN,10,8,16.234247,254,2368.290283,2,1,7064.833854,172.447047,3922662296,255,0.171522,0.11764,53,44,0,0,1,1,2,0,0
85,REQ,14,0,0.775346,254,0,13,0,2508.6645,0,0,0,0,0,45,0,0,0,6,9,17,0,0
86,REQ,14,0,0.790367,254,0,13,0,2435.79,0,0,0,0,0,45,0,0,0,6,9,17,0,0
87,REQ,14,0,0.844003,254,0,13,0,2188.4775,0,0,0,0,0,45,0,0,0,6,9,17,0,0
88,REQ,14,0,0.844003,254,0,13,0,2188.4775,0,0,0,0,0,45,0,0,0,6,9,17,0,0
89,FIN,12,10,8.687033,62,3402.007568,2,2,13318.12168,368.903437,1647371567,255,0.301504,0.150194,75,114,1,126,1,2,1,0,0
90,REQ,12,0,0.685605,254,0,11,0,2845.959,0,0,0,0,0,45,0,0,0,6,5,7,0,0
91,REQ,12,0,0.672677,254,0,11,0,2934.0635,0,0,0,0,0,45,0,0,0,6,5,7,0,0
92,REQ,12,0,0.685605,254,0,11,0,2845.959,0,0,0,0,0,45,0,0,0,6,2,17,0,0
93,REQ,12,0,0.672677,254,0,11,0,2934.0635,0,0,0,0,0,45,0,0,0,6,5,7,0,0
94,REQ,12,0,0.672677,254,0,11,0,2934.0635,0,0,0,0,0,45,0,0,0,6,5,7,0,0
95,REQ,12,0,0.685605,254,0,11,0,2845.959,0,0,0,0,0,45,0,0,0,6,5,7,0,0
96,FIN,10,6,22.572957,254,2696.71582,2,1,3565.853629,166.495,2600388172,255,0.148054,0.090584,53,45,0,0,1,1,3,0,0
97,FIN,10,6,17.437643,254,2083.217041,2,1,4650.146095,225.094078,2537299422,255,0.16717,0.079005,53,45,0,0,1,1,3,0,0
98,REQ,10,0,0.595926,254,0,9,0,3601.72875,0,0,0,0,0,45,0,0,0,6,2,11,0,0
99,FIN,10,10,9.59865,62,4469.939941,2,2,14679.52685,514.389156,504743724,255,0.14109,0.071357,81,123,1,168,1,1,2,0,0
100,REQ,10,0,0.595926,254,0,9,0,3601.72875,0,0,0,0,0,45,0,0,0,6,2,11,0,0
101,FIN,10,8,9.641424,254,1406.513672,2,1,11342.30539,425.373531,732537965,255,0.228211,0.156418,252,44,0,0,1,1,1,0,0
102,FIN,10,6,23.018422,254,2749.934082,2,1,3503.393362,172.291953,573378078,255,0.191544,0.087402,53,45,0,0,1,1,3,0,0
103,REQ,10,0,0.573819,254,0,9,0,3773.5005,0,0,0,0,0,45,0,0,0,6,2,7,0,0
104,REQ,10,0,0.573819,254,0,9,0,3773.5005,0,0,0,0,0,45,0,0,0,6,2,7,0,0
105,REQ,8,0,0.466389,254,0,7,0,4393.9205,0,0,0,0,0,45,0,0,0,6,2,11,0,0
106,REQ,8,0,0.466389,254,0,7,0,4393.9205,0,0,0,0,0,45,0,0,0,6,2,11,0,0
107,FIN,10,8,14.663388,254,2139.129639,2,1,8652.007826,198.409875,1859843698,255,0.153635,0.083699,53,44,0,0,1,1,2,0,0
108,REQ,8,0,0.433925,254,0,7,0,4770.138,0,0,0,0,0,45,0,0,0,6,2,11,0,0
109,REQ,8,0,0.433925,254,0,7,0,4770.138,0,0,0,0,0,45,0,0,0,6,2,11,0,0
110,FIN,10,6,20.906303,254,2497.606201,2,1,3284.802132,162.022297,4059060577,255,0.132444,0.083125,53,45,0,0,1,1,2,0,0
111,REQ,6,0,0.303238,254,0,5,0,6174.6335,0,0,0,0,0,45,0,0,0,6,5,11,0,0
112,FIN,10,8,19.432258,254,2834.823486,2,1,5023.861708,182.480562,2138990264,255,0.228169,0.140685,252,44,0,0,1,1,3,0,0
113,REQ,6,0,0.297616,254,0,5,0,6278.833,0,0,0,0,0,45,0,0,0,6,1,9,0,0
114,REQ,6,0,0.303238,254,0,5,0,6174.6335,0,0,0,0,0,45,0,0,0,6,5,11,0,0
115,REQ,6,0,0.297616,254,0,5,0,6278.833,0,0,0,0,0,45,0,0,0,6,5,11,0,0
116,FIN,10,10,12.348856,62,5927.451172,2,2,9513.325933,271.657688,664847518,255,0.333902,0.109439,81,127,1,188,1,1,2,0,0
117,REQ,6,0,0.309847,254,0,5,0,6033.978,0,0,0,0,0,45,0,0,0,6,5,11,0,0
118,REQ,6,0,0.309847,254,0,5,0,6033.978,0,0,0,0,0,45,0,0,0,6,5,11,0,0
119,REQ,4,0,0.173683,254,0,3,0,8142.4755,0,0,0,0,0,45,0,0,0,6,8,9,0,0
120,REQ,4,0,0.173733,254,0,3,0,8140.131,0,0,0,0,0,45,0,0,0,6,8,9,0,0
121,REQ,4,0,0.173733,254,0,3,0,8140.131,0,0,0,0,0,45,0,0,0,6,8,9,0,0
122,FIN,10,6,17.257129,254,2061.651611,2,1,4647.90085,215.683547,1130834393,255,0.2012,0.108745,53,45,0,0,1,1,3,0,0
123,REQ,4,0,0.156439,254,0,3,0,9040.03,0,0,0,0,0,45,0,0,0,6,8,9,0,0
124,REQ,4,0,0.173683,254,0,3,0,8142.4755,0,0,0,0,0,45,0,0,0,6,8,9,0,0
125,REQ,4,0,0.179775,254,0,3,0,7866.557,0,0,0,0,0,45,0,0,0,6,8,9,0,0
126,REQ,4,0,0.156439,254,0,3,0,9040.03,0,0,0,0,0,45,0,0,0,6,8,9,0,0
127,FIN,10,6,18.364776,254,2193.978516,2,1,4489.654147,196.170453,2986121594,255,0.234341,0.128308,252,45,0,0,1,1,3,0,0
128,REQ,4,0,0.179775,254,0,3,0,7866.557,0,0,0,0,0,45,0,0,0,6,8,9,0,0
129,FIN,10,6,20.692594,254,2472.075195,2,1,4176.591702,179.829109,1754390776,255,0.305671,0.154212,53,45,0,0,1,1,3,0,0
130,FIN,12,8,11.690243,62,5094.484863,2,2,7502.326999,308.739156,1189974610,255,0.184153,0.075141,73,148,1,189,1,2,1,0,0
131,FIN,10,8,9.774935,254,1425.990601,2,1,11446.07773,345.173906,2807919407,255,0.155534,0.074759,252,44,0,0,1,1,3,0,0
132,FIN,10,6,16.933176,254,2022.950073,2,1,4828.08777,224.065016,1049614339,255,0.264407,0.154903,53,45,0,0,1,1,3,0,0
133,FIN,10,8,14.413071,254,2102.612549,2,1,7212.306954,296.206062,2521601668,255,0.153475,0.059793,53,44,0,0,1,1,2,0,0
134,FIN,10,8,12.889089,254,1880.290649,2,1,8370.505282,290.400688,194472982,255,0.141348,0.081363,252,44,0,0,1,2,1,0,0
135,FIN,10,8,16.211551,62,8056.1875,2,2,6160.721977,249.897156,3719681799,255,0.263248,0.142526,82,151,1,201,1,1,4,0,0
136,FIN,10,10,12.722817,62,6648.006836,2,2,9429.113098,361.663156,2803389328,255,0.24616,0.106148,82,138,1,190,1,19,4,0,0
137,FIN,10,10,12.722817,62,6648.006836,2,2,9429.113098,361.663156,2803389328,255,0.24616,0.106148,82,138,1,190,1,19,4,0,0
138,FIN,10,8,25.842032,254,3769.896484,2,1,3940.160955,155.716141,3513978104,255,0.154585,0.0829,53,44,0,0,1,1,2,0,0
139,FIN,10,10,12.722817,62,6648.006836,2,2,9429.113098,361.663156,2803389328,255,0.24616,0.106148,82,138,1,190,1,19,4,0,0
140,FIN,10,8,11.720783,254,1709.855469,2,1,10739.8817,272.772906,2169276756,255,0.148026,0.075352,252,44,0,0,1,1,1,0,0
141,FIN,10,8,11.722682,254,1710.132446,2,1,10858.87348,275.466563,676216202,255,0.147977,0.075253,53,44,0,0,1,1,2,0,0
142,INT,20,0,20.607666,254,0,0,0,52.253805,0,0,0,0,0,64,0,0,0,2,1,2,0,1
143,INT,20,0,20.607666,254,0,0,0,52.253805,0,0,0,0,0,64,0,0,0,2,1,2,0,1
144,INT,20,0,20.607666,254,0,0,0,52.253805,0,0,0,0,0,64,0,0,0,2,1,2,0,1
145,INT,2,0,111111.1072,254,0,0,0,0,0,0,0,0,0,52,0,0,0,2,2,2,0,1
146,INT,2,0,111111.1072,254,0,0,0,0,0,0,0,0,0,78,0,0,0,2,1,63,0,1
147,INT,2,0,111111.1072,254,0,0,0,0,0,0,0,0,0,78,0,0,0,2,1,63,0,1
148,INT,2,0,111111.1072,254,0,0,0,0,0,0,0,0,0,78,0,0,0,2,1,63,0,1
149,INT,2,0,111111.1072,254,0,0,0,0,0,0,0,0,0,78,0,0,0,2,1,63,0,1
150,INT,2,0,62500.00016,254,0,0,0,0,0,0,0,0,0,98,0,0,0,2,1,1,0,1
151,FIN,10,8,75.715734,62,29929.98438,2,2,1344.946273,54.342605,3306255269,255,0.055643,0.00698,83,120,1,66,1,2,2,0,1
152,FIN,10,8,41.485474,62,22821.89063,2,2,2261.112342,78.615164,110924759,255,0.123943,0.056063,85,167,1,235,1,2,3,0,1
153,FIN,10,6,58.023712,254,6931.899414,2,1,1393.321027,76.355812,1105088469,255,0.05861,0.011825,106,45,1,0,1,1,1,0,1
154,FIN,10,8,25.197692,254,3675.898438,2,1,5394.126729,130.206961,2485378508,255,0.07321,0.039567,56,44,0,0,1,1,1,0,1
155,FIN,12,12,4.106856,62,6856.664062,2,3,38893.67089,36169.42875,3330056193,255,0.060118,0.010067,74,436,1,2133,1,1,1,0,1
156,FIN,10,8,59.443053,62,24280.73828,2,2,1638.963244,58.916566,3629628996,255,0.069484,0.012339,120,124,1,0,1,1,1,0,1
157,INT,2,0,333333.3215,254,0,0,0,0,0,0,0,0,0,84,0,0,0,2,1,1,0,1
158,FIN,10,8,25.608426,254,3735.817627,2,1,5551.275568,137.155687,702207080,255,0.104112,0.038465,56,44,0,0,1,1,1,0,1
159,FIN,10,6,69.025183,254,8246.208008,2,1,1254.080455,61.817492,1345084615,255,0.024186,0.009806,115,45,1,0,1,1,1,0,1
160,FIN,202,1294,195.951758,62,1830562.25,2,645,1929.952965,745.606365,946376470,255,0.052951,0.028738,45,1350,1,847364,1,1,1,0,1
161,FIN,10,8,33.838119,254,4936.384277,2,1,3382.950901,125.017484,212558147,255,0.10843,0.067821,94,44,1,0,1,1,1,0,1
162,FIN,12,20,67.367726,62,298747.625,2,7,3014.90589,2285.089136,24379987,255,0.096038,0.048439,76,904,1,0,1,1,1,0,1
163,INT,2,0,111111.1072,254,0,0,0,0,0,0,0,0,0,84,0,0,0,2,1,1,0,1
164,INT,28,0,21.700656,254,0,0,0,57.727293,0,0,0,0,0,108,0,0,0,2,1,1,0,1
165,INT,28,0,21.700656,254,0,0,0,57.727293,0,0,0,0,0,108,0,0,0,2,1,1,0,1
166,INT,28,0,21.700656,254,0,0,0,57.727293,0,0,0,0,0,108,0,0,0,2,1,1,0,1
167,INT,28,0,21.700656,254,0,0,0,57.727293,0,0,0,0,0,108,0,0,0,2,1,1,0,1
168,INT,28,0,21.700656,254,0,0,0,57.727293,0,0,0,0,0,108,0,0,0,2,1,1,0,1
169,FIN,10,8,58.741818,254,25984.61523,2,2,1739.388491,71.479023,3606458423,255,0.076918,0.025907,113,134,1,98,1,1,2,0,1
170,FIN,10,8,25.473202,254,3716.09082,2,1,5450.195183,136.591312,2781332383,255,0.016439,0.010495,56,44,0,0,1,1,1,0,1
171,FIN,10,6,71.724692,254,8568.709961,2,1,1139.187144,51.108875,3869127034,255,0.066589,0.046011,51,45,1,0,1,2,12,0,1
172,FIN,10,6,75.929377,254,9071.029297,2,1,1041.396323,50.775418,948977096,255,0.060979,0.031846,76,45,1,0,1,4,12,0,1
173,INT,2,0,125000.0003,254,0,0,0,0,0,0,0,0,0,84,0,0,0,2,1,1,0,1
174,FIN,10,8,35.196396,254,5134.533203,2,1,3414.740225,110.386664,2964286253,255,0.117386,0.057477,57,44,1,0,1,3,10,0,1
175,FIN,10,6,28.645306,254,3422.15918,2,1,3256.640996,156.682875,2589843549,255,0.087022,0.06836,67,45,0,0,1,1,7,0,1
176,FIN,22,22,21.152403,62,6021.056152,7,9,4838.362529,5599.901392,3182323027,255,0.087444,0.047985,54,73,0,0,1,3,2,1,1
177,FIN,8,8,20.617791,62,15669.52148,1,2,6926.842878,177.307719,1613063914,255,0.106917,0.062859,46,204,0,0,1,3,2,0,1
178,INT,2,0,111111.1072,254,0,0,0,0,0,0,0,0,0,84,0,0,0,2,1,1,0,1
179,FIN,20,8,39.596933,254,3637.051514,7,1,2745.442647,108.610156,894453596,255,0.179623,0.060533,863,44,0,0,1,2,6,0,1
180,FIN,10,6,26.458385,254,3160.89502,2,1,3197.205408,141.913062,2164953844,255,0.187663,0.111084,49,45,0,0,1,1,6,0,1
181,FIN,10,8,20.387262,254,2974.141602,2,1,4899.931215,219.430766,2847876758,255,0.201948,0.081185,74,44,0,0,1,2,3,0,1
182,FIN,10,6,19.574758,254,2338.531006,2,1,4551.385383,223.827219,21155452,255,0.097646,0.059008,151,45,0,0,1,1,3,0,1
183,FIN,10,6,25.707998,254,3071.248779,2,1,3075.446986,138.131156,422840241,255,0.11848,0.076982,110,45,0,0,1,2,1,0,1
184,FIN,12,6,27.162147,254,2863.209717,3,1,0,174.931125,887016526,255,0.17778,0.063971,332,45,0,0,1,1,1,0,1
185,FIN,16,12,23.012763,254,10916.57324,5,4,3940.719692,122.909242,2090124388,255,0.176776,0.06238,130,146,0,0,1,1,1,0,1
186,FIN,10,6,33.246744,254,3971.877686,2,1,2478.602593,111.996453,1226743990,255,0.141762,0.086672,49,45,0,0,1,2,3,0,1
187,FIN,10,8,19.380154,254,2827.222412,2,1,6044.314746,161.644531,4075039038,255,0.112582,0.063473,56,44,0,0,1,1,1,0,1
188,FIN,10,8,24.463669,254,3568.817627,2,1,5456.467953,129.041281,149432727,255,0.109665,0.057685,55,44,0,0,1,1,6,0,1
189,FIN,10,8,31.806795,254,4640.049805,2,1,3730.599306,113.067641,2006752785,255,0.106518,0.046605,55,44,0,0,1,1,7,0,1
190,FIN,10,6,46.540922,254,5560.088867,2,1,1747.044154,85.463906,949471373,255,0.090418,0.039832,55,45,0,0,1,2,7,0,1
191,FIN,10,10,27.57828,62,20901.43359,2,2,5070.32997,112.85018,3020503365,255,0.129972,0.047353,91,200,1,476,1,1,1,0,1
192,FIN,10,8,31.607209,254,4610.934082,2,1,3929.782635,107.443609,3586533202,255,0.121835,0.067548,48,44,0,0,1,2,5,0,1
193,FIN,10,10,24.604451,62,11551.14258,2,2,6125.042357,162.067969,2063912232,255,0.107828,0.051706,81,124,1,160,1,1,2,0,1
194,FIN,10,8,39.295727,254,5732.553223,2,1,3158.114218,106.542766,1551550120,255,0.10114,0.050666,97,44,1,0,1,1,1,0,1
195,FIN,10,8,68.214468,62,27703.09961,2,2,1463.810856,57.058832,2108875204,255,0.061495,0.009477,85,123,1,73,1,2,2,0,1
196,FIN,10,8,26.265008,254,3831.601318,2,1,5494.051724,139.402437,894345948,255,0.057112,0.008939,56,44,0,0,1,1,1,0,1
197,FIN,10,6,78.85482,254,9420.522461,2,1,1035.969762,61.652242,1216905574,255,0.0542,0.008343,90,45,1,0,1,1,1,0,1
198,FIN,20,20,43.580725,62,15152.68262,7,8,2223.784116,51.086562,2200114777,255,0.062427,0.01498,159,89,0,0,1,1,1,0,1
199,FIN,20,24,43.048947,62,75774.15625,7,10,2778.532203,2506.784107,43493637,255,0.115983,0.044489,47,411,0,0,1,1,1,0,1
200,FIN,10,8,60.12974,62,27107.90234,2,2,1568.944812,59.033086,2348252448,255,0.052429,0.007554,84,137,1,127,1,2,2,0,1
201,FIN,246,1554,180.66693,62,1650178.625,7,775,2217.616259,868.071675,2055688489,255,0.059617,0.013861,43,1323,0,0,1,1,1,0,1
202,FIN,20,20,31.64937,62,13977.66016,7,8,3167.501337,71.707625,1661865435,255,0.104512,0.041314,48,113,0,0,1,1,1,0,1
203,FIN,10,6,49.043009,254,5859.004883,2,1,1425.977439,66.626336,1343525938,255,0.072706,0.049463,158,45,1,0,1,1,2,0,1
204,FIN,16,8,27.20538,254,3368.73584,5,2,4507.121099,178.680672,2517203169,255,0.100456,0.036372,605,51,0,0,1,1,2,0,1
205,FIN,10,6,39.495717,254,4718.421875,2,1,2035.385625,95.774516,446281895,255,0.100401,0.052219,129,45,0,0,1,1,5,0,1
206,FIN,10,6,25.469358,254,3042.739258,2,1,3474.005637,157.922266,972193884,255,0.170423,0.079865,206,45,0,0,1,2,5,0,1
207,FIN,12,6,28.490887,254,3003.274658,3,1,2996.441585,146.834391,1230144701,255,0.233481,0.125815,307,45,0,0,1,2,5,0,1
208,FIN,10,8,23.441098,254,3419.642578,2,1,4164.024141,171.151797,756458129,255,0.181819,0.077047,55,44,0,0,1,1,3,0,1
209,INT,2,0,100000.0025,254,0,0,0,0,0,0,0,0,0,84,0,0,0,2,1,1,0,1
210,FIN,10,6,20.26326,254,2420.78418,2,1,4343.607744,203.247094,1847217899,255,0.154707,0.082811,77,45,1,0,1,1,1,0,1
211,FIN,10,8,14.286807,254,2084.193115,2,1,7045.530993,252.233594,1875092270,255,0.194236,0.092702,72,44,0,0,1,1,3,0,1
212,FIN,10,8,20.986255,254,3061.52417,2,1,5420.143092,150.344531,3031716204,255,0.235306,0.121418,172,44,0,0,1,1,5,0,1
213,FIN,12,6,19.755658,254,2082.47876,3,1,4647.415399,246.086297,3552807124,255,0.161295,0.103532,307,45,0,0,1,1,3,0,1
214,FIN,12,10,17.648541,62,19934.44727,3,3,5431.634445,188.441078,2360436159,255,0.176547,0.076228,111,329,1,784,1,2,4,0,1
215,FIN,10,6,20.803083,254,2485.274902,2,1,3876.50671,149.212516,3941728817,255,0.242878,0.181181,248,45,0,0,1,1,5,0,1
216,FIN,14,8,26.187184,254,3092.581787,4,1,3905.252043,199.857828,36109589,255,0.205898,0.122277,488,44,0,0,1,1,3,0,1
